发货日期,预计到货日期,货柜号,部门,品类,品牌,材质,颜色,S,M,L,XL,2XL,3XL,4XL,5XL,总件数,成本,状态,备注
2026-06-05,2026-07-20,COSU9507559000,DTF,黑白短袖,Haloo,CVC,黑,2730,0,17670,8140,29830,20200,0,0,78570,6.2,已到货,实际到货2026-07-14；库存已入库；PDF第4页；251箱+610包
2026-06-05,2026-07-20,COSU9507559060,DTF,黑白短袖,Haloo,CVC,黑,7880,6890,30670,12500,10000,6720,270,1850,76780,6.2,未到货,PDF第5页；484箱+429包
2026-06-14,2026-07-29,COSU6503207410,DTF,黑白短袖,Haloo,CVC,黑,0,0,39700,34400,29000,0,0,0,103100,6.2,未到货,PDF第1页；1031包
2026-06-14,2026-07-29,COSU6503207720,DTF,黑白短袖,Haloo,CVC,黑,8300,16900,19200,13300,9500,16700,3800,6800,94500,6.2,未到货,PDF第2页；945包
2026-06-20,2026-08-04,COSU9507769330,DTF,黑白短袖,Haloo,CVC,黑,0,0,26000,26200,30600,21000,3400,0,107200,6.2,未到货,PDF第8页；1072包
2026-07-03,2026-08-17,COSU6505565880,DTF,黑白短袖,Haloo,CVC,黑,0,0,35000,48600,35000,0,0,0,118600,6.2,未到货,PDF第9页；1186包
2026-07-03,2026-08-17,COSU6505566090,DTF,黑白短袖,Haloo,CVC,黑,13400,32100,13500,5000,15600,23100,5400,2900,111000,6.2,未到货,PDF第10页；1110包
2026-07-11,2026-08-25,COSU9508183900,DTF,黑白短袖,Haloo,180g,白,0,0,0,1600,2800,5800,3100,3000,16300,8.8,未到货,PDF第11页；163包
2026-07-11,2026-08-25,COSU9508183900,DTF,黑白短袖,Haloo,CVC,黑,11800,10000,29200,12000,8900,10000,5700,1700,89300,6.2,未到货,PDF第11页；893包
2026-07-11,2026-08-25,COSU9508184080,DTF,黑白短袖,Haloo,CVC,黑,0,0,31200,34900,26900,0,0,0,93000,6.2,未到货,PDF第12页；930包
2026-07-11,2026-08-25,COSU9508184080,DTF,黑白短袖,Haloo,CVC,白,2400,5600,6000,6000,0,0,0,0,20000,6.2,未到货,PDF第12页；200包
