date,sheet_name,total_quantity,status
2026-07-01,0701,5714,ok
2026-07-02,0702,3949,ok
2026-07-03,0703,5536,ok
2026-07-04,0704,3336,ok
2026-07-05,0705,3375,ok
2026-07-06,0706,5867,ok
2026-07-07,0707,4163,ok
2026-07-08,0708,4712,ok
2026-07-09,0709,4540,ok
2026-07-10,0710,5191,ok
2026-07-11,,0,missing_sheet
2026-07-12,0712,4012,ok
2026-07-13,0713,6645,ok
2026-07-14,0714,5014,ok
2026-07-15,0715,4433,ok
2026-07-16,,0,missing_sheet
2026-07-17,,0,missing_sheet
2026-07-18,0718,4896,ok
2026-07-19,,0,missing_sheet
2026-07-20,0720,5846,ok
2026-07-21,0721,5122,ok
2026-07-22,0722,4449,ok
2026-07-23,0723,4256,ok
2026-07-24,0724,3988,ok
2026-07-25,0725,3139,ok
2026-07-26,0726,3643,ok
2026-07-27,0727,4862,ok
2026-07-28,0728,3911,ok
2026-07-29,0729,3574,ok
2026-07-30,0730,4300,ok
2026-07-31,0731,4189,ok
